---------------------------------------------------
Results for bin/jen_schmidt_par on slashdot dataset with 8 threads
Timestamp: 
---------------------------------------------------
Loading graph from datasets/slashdot.txt...
Initializing graph with 82167 nodes...
Loading edges...
Graph loaded: 82167 nodes, 948464 edges
Graph loaded from datasets/slashdot.txt with 82167 nodes
Running parallel Jen-Schmidt computation with 8 threads...
Found 8 connected components
Computation time: 0.16511 seconds
Found 30287 biconnected components:
Component 1: Size: 472975, Nodes: 0 
Component 2: Size: 27, Nodes: 0 
Component 3: Size: 27, Nodes: 0 
Component 4: Size: 15, Nodes: 0 
Component 5: Size: 12, Nodes: 0 
Component 6: Size: 12, Nodes: 0 
Component 7: Size: 11, Nodes: 0 
Component 8: Size: 11, Nodes: 0 
Component 9: Size: 10, Nodes: 0 
Component 10: Size: 10, Nodes: 0 
Component 11: Size: 10, Nodes: 0 
Component 12: Size: 9, Nodes: 0 
Component 13: Size: 9, Nodes: 0 
Component 14: Size: 9, Nodes: 0 
Component 15: Size: 9, Nodes: 0 
Component 16: Size: 8, Nodes: 0 
Component 17: Size: 8, Nodes: 0 
Component 18: Size: 8, Nodes: 0 
Component 19: Size: 8, Nodes: 0 
Component 20: Size: 7, Nodes: 0 
Component 21: Size: 7, Nodes: 0 
Component 22: Size: 7, Nodes: 0 
Component 23: Size: 7, Nodes: 0 
Component 24: Size: 6, Nodes: 0 
Component 25: Size: 6, Nodes: 0 
Component 26: Size: 6, Nodes: 0 
Component 27: Size: 6, Nodes: 0 
Component 28: Size: 6, Nodes: 0 
Component 29: Size: 6, Nodes: 0 
Component 30: Size: 6, Nodes: 0 
Component 31: Size: 6, Nodes: 0 
Component 32: Size: 6, Nodes: 0 
Component 33: Size: 6, Nodes: 0 
Component 34: Size: 6, Nodes: 0 
Component 35: Size: 6, Nodes: 0 
Component 36: Size: 6, Nodes: 0 
Component 37: Size: 6, Nodes: 0 
Component 38: Size: 6, Nodes: 0 
Component 39: Size: 6, Nodes: 0 
Component 40: Size: 6, Nodes: 0 
Component 41: Size: 6, Nodes: 0 
Component 42: Size: 6, Nodes: 0 
Component 43: Size: 6, Nodes: 0 
Component 44: Size: 6, Nodes: 0 
Component 45: Size: 6, Nodes: 0 
Component 46: Size: 5, Nodes: 0 
Component 47: Size: 5, Nodes: 0 
Component 48: Size: 5, Nodes: 0 
Component 49: Size: 5, Nodes: 0 
Component 50: Size: 5, Nodes: 0 
Component 51: Size: 5, Nodes: 0 
Component 52: Size: 5, Nodes: 0 
Component 53: Size: 5, Nodes: 0 
Component 54: Size: 5, Nodes: 0 
Component 55: Size: 5, Nodes: 0 
Component 56: Size: 5, Nodes: 0 
Component 57: Size: 5, Nodes: 0 
Component 58: Size: 5, Nodes: 0 
Component 59: Size: 5, Nodes: 0 
Component 60: Size: 5, Nodes: 0 
Component 61: Size: 5, Nodes: 0 
Component 62: Size: 5, Nodes: 0 
Component 63: Size: 5, Nodes: 0 
Component 64: Size: 5, Nodes: 0 
Component 65: Size: 5, Nodes: 0 
Component 66: Size: 5, Nodes: 0 
Component 67: Size: 5, Nodes: 0 
Component 68: Size: 5, Nodes: 0 
Component 69: Size: 5, Nodes: 0 
Component 70: Size: 4, Nodes: 0 
Component 71: Size: 4, Nodes: 0 
Component 72: Size: 4, Nodes: 0 
Component 73: Size: 4, Nodes: 0 
Component 74: Size: 4, Nodes: 0 
Component 75: Size: 4, Nodes: 0 
Component 76: Size: 4, Nodes: 0 
Component 77: Size: 4, Nodes: 0 
Component 78: Size: 4, Nodes: 0 
Component 79: Size: 4, Nodes: 0 
Component 80: Size: 4, Nodes: 0 
Component 81: Size: 4, Nodes: 0 
Component 82: Size: 4, Nodes: 0 
Component 83: Size: 4, Nodes: 0 
Component 84: Size: 4, Nodes: 0 
Component 85: Size: 4, Nodes: 0 
Component 86: Size: 4, Nodes: 0 
Component 87: Size: 4, Nodes: 0 
Component 88: Size: 4, Nodes: 0 
Component 89: Size: 4, Nodes: 0 
Component 90: Size: 4, Nodes: 0 
Component 91: Size: 4, Nodes: 0 
Component 92: Size: 4, Nodes: 0 
Component 93: Size: 4, Nodes: 0 
Component 94: Size: 4, Nodes: 0 
Component 95: Size: 4, Nodes: 0 
Component 96: Size: 4, Nodes: 0 
Component 97: Size: 4, Nodes: 0 
Component 98: Size: 4, Nodes: 0 
Component 99: Size: 4, Nodes: 0 
Component 100: Size: 4, Nodes: 0 
Component 101: Size: 4, Nodes: 0 
Component 102: Size: 4, Nodes: 0 
Component 103: Size: 4, Nodes: 0 
Component 104: Size: 4, Nodes: 0 
Component 105: Size: 4, Nodes: 0 
Component 106: Size: 4, Nodes: 0 
Component 107: Size: 4, Nodes: 0 
Component 108: Size: 4, Nodes: 0 
Component 109: Size: 4, Nodes: 0 
Component 110: Size: 4, Nodes: 0 
Component 111: Size: 4, Nodes: 0 
Component 112: Size: 4, Nodes: 0 
Component 113: Size: 4, Nodes: 0 
Component 114: Size: 4, Nodes: 0 
Component 115: Size: 4, Nodes: 0 
Component 116: Size: 4, Nodes: 0 
Component 117: Size: 4, Nodes: 0 
Component 118: Size: 4, Nodes: 0 
Component 119: Size: 4, Nodes: 0 
Component 120: Size: 4, Nodes: 0 
Component 121: Size: 4, Nodes: 0 
Component 122: Size: 4, Nodes: 0 
Component 123: Size: 4, Nodes: 0 
Component 124: Size: 4, Nodes: 0 
Component 125: Size: 4, Nodes: 0 
Component 126: Size: 4, Nodes: 0 
Component 127: Size: 4, Nodes: 0 
Component 128: Size: 4, Nodes: 0 
Component 129: Size: 4, Nodes: 0 
Component 130: Size: 4, Nodes: 0 
Component 131: Size: 4, Nodes: 0 
Component 132: Size: 4, Nodes: 0 
Component 133: Size: 4, Nodes: 0 
Component 134: Size: 4, Nodes: 0 
Component 135: Size: 4, Nodes: 0 
Component 136: Size: 4, Nodes: 0 
Component 137: Size: 4, Nodes: 0 
Component 138: Size: 4, Nodes: 0 
Component 139: Size: 4, Nodes: 0 
Component 140: Size: 4, Nodes: 0 
Component 141: Size: 4, Nodes: 0 
Component 142: Size: 4, Nodes: 0 
Component 143: Size: 4, Nodes: 0 
Component 144: Size: 4, Nodes: 0 
Component 145: Size: 4, Nodes: 0 
Component 146: Size: 4, Nodes: 0 
Component 147: Size: 4, Nodes: 0 
Component 148: Size: 4, Nodes: 0 
Component 149: Size: 4, Nodes: 0 
Component 150: Size: 4, Nodes: 0 
Component 151: Size: 4, Nodes: 0 
Component 152: Size: 4, Nodes: 0 
Component 153: Size: 4, Nodes: 0 
Component 154: Size: 4, Nodes: 0 
Component 155: Size: 4, Nodes: 0 
Component 156: Size: 4, Nodes: 0 
Component 157: Size: 4, Nodes: 0 
Component 158: Size: 4, Nodes: 0 
Component 159: Size: 4, Nodes: 0 
Component 160: Size: 4, Nodes: 0 
Component 161: Size: 4, Nodes: 0 
Component 162: Size: 4, Nodes: 0 
Component 163: Size: 4, Nodes: 0 
Component 164: Size: 4, Nodes: 0 
Component 165: Size: 4, Nodes: 0 
Component 166: Size: 4, Nodes: 0 
Component 167: Size: 4, Nodes: 0 
Component 168: Size: 4, Nodes: 0 
Component 169: Size: 4, Nodes: 0 
Component 170: Size: 4, Nodes: 0 
Component 171: Size: 4, Nodes: 0 
Component 172: Size: 4, Nodes: 0 
Component 173: Size: 4, Nodes: 0 
Component 174: Size: 4, Nodes: 0 
Component 175: Size: 4, Nodes: 0 
Component 176: Size: 4, Nodes: 0 
Component 177: Size: 4, Nodes: 0 
Component 178: Size: 4, Nodes: 0 
Component 179: Size: 4, Nodes: 0 
Component 180: Size: 4, Nodes: 0 
Component 181: Size: 4, Nodes: 0 
Component 182: Size: 4, Nodes: 0 
Component 183: Size: 4, Nodes: 0 
Component 184: Size: 4, Nodes: 0 
Component 185: Size: 4, Nodes: 0 
Component 186: Size: 4, Nodes: 0 
Component 187: Size: 4, Nodes: 0 
Component 188: Size: 4, Nodes: 0 
Component 189: Size: 4, Nodes: 0 
Component 190: Size: 4, Nodes: 0 
Component 191: Size: 4, Nodes: 0 
Component 192: Size: 4, Nodes: 0 
Component 193: Size: 4, Nodes: 0 
Component 194: Size: 4, Nodes: 0 
Component 195: Size: 4, Nodes: 0 
Component 196: Size: 4, Nodes: 0 
Component 197: Size: 4, Nodes: 0 
Component 198: Size: 4, Nodes: 0 
Component 199: Size: 4, Nodes: 0 
Component 200: Size: 4, Nodes: 0 
Component 201: Size: 4, Nodes: 0 
Component 202: Size: 4, Nodes: 0 
Component 203: Size: 4, Nodes: 0 
Component 204: Size: 4, Nodes: 0 
Component 205: Size: 4, Nodes: 0 
Component 206: Size: 4, Nodes: 0 
