---------------------------------------------------
Results for bin/slota_madduri_par on slashdot dataset with 8 threads
Timestamp: 
---------------------------------------------------
Loading graph from datasets/slashdot.txt...
Initializing graph with 82167 nodes...
Loading edges...
Graph loaded: 82167 nodes, 948464 edges
Graph loaded from datasets/slashdot.txt with 82167 nodes
Running parallel computation with 8 threads...
Computation time: 77.46100 seconds
Found 62471 maximal cliques:
Clique 1: Size: 16, Nodes: 48 10 85 198 323 341 412 1508 1530 1722 2009 2487 2490 4822 5515 32097 
Clique 2: Size: 9, Nodes: 397 2 7 8 16 27 153 194 402 
Clique 3: Size: 9, Nodes: 3481 15 252 341 451 1722 2959 5452 5834 
Clique 4: Size: 9, Nodes: 13155 13156 18890 50902 50904 50906 50908 50910 50911 
Clique 5: Size: 7, Nodes: 5503 157 537 1069 1500 5525 5626 
Clique 6: Size: 7, Nodes: 5382 15 1066 1650 3481 5845 46362 
Clique 7: Size: 7, Nodes: 5705 13 16 36 397 404 407 
Clique 8: Size: 7, Nodes: 6421 466 843 846 1630 5522 8049 
Clique 9: Size: 7, Nodes: 1631 186 890 1544 2066 2412 2516 
Clique 10: Size: 6, Nodes: 5576 721 1284 1714 2385 8071 
Clique 11: Size: 6, Nodes: 2493 4 36 68 153 194 
Clique 12: Size: 6, Nodes: 5165 1519 2488 5235 5471 5869 
Clique 13: Size: 6, Nodes: 16186 32533 50896 65614 65615 65616 
Clique 14: Size: 6, Nodes: 5028 91 2029 8970 9862 10278 
Clique 15: Size: 6, Nodes: 400 92 756 958 2346 8116 
Clique 16: Size: 6, Nodes: 36 4 68 153 194 397 
Clique 17: Size: 6, Nodes: 878 95 105 205 2298 3182 
Clique 18: Size: 6, Nodes: 14805 1369 3119 11961 19725 25248 
Clique 19: Size: 6, Nodes: 8318 8625 34867 53980 53981 53982 
Clique 20: Size: 6, Nodes: 5519 24 264 2959 3852 15337 
Clique 21: Size: 6, Nodes: 551 33 2259 5393 6482 6490 
Clique 22: Size: 6, Nodes: 63823 62051 63824 72208 80286 80287 
Clique 23: Size: 5, Nodes: 46029 18381 46027 65445 65827 
Clique 24: Size: 5, Nodes: 6459 1207 1429 5435 6502 
Clique 25: Size: 5, Nodes: 515 49 155 1228 54100 
Clique 26: Size: 5, Nodes: 38445 11054 39706 39726 45613 
Clique 27: Size: 5, Nodes: 21739 14630 28432 31774 64000 
Clique 28: Size: 5, Nodes: 4916 607 2282 2369 3203 
Clique 29: Size: 5, Nodes: 5465 53 2499 2541 5584 
Clique 30: Size: 5, Nodes: 8918 31254 31258 31260 41820 
Clique 31: Size: 5, Nodes: 11098 2824 5021 13770 56007 
Clique 32: Size: 5, Nodes: 6294 51 365 954 5397 
Clique 33: Size: 5, Nodes: 6659 20 135 1864 66745 
Clique 34: Size: 5, Nodes: 20888 794 1998 17853 17854 
Clique 35: Size: 5, Nodes: 420 174 1838 2625 33809 
Clique 36: Size: 5, Nodes: 3075 101 604 3408 4740 
Clique 37: Size: 5, Nodes: 1810 472 1963 2528 8132 
Clique 38: Size: 5, Nodes: 12095 1049 12094 22960 54983 
Clique 39: Size: 5, Nodes: 21078 5307 16415 21517 46032 
