---------------------------------------------------
Results for jen_schmidt_seq on facebook dataset
Timestamp: Mon May  5 04:35:48 PM IST 2025
---------------------------------------------------
Loading graph from datasets/facebook.txt...
Initializing graph with 4038 nodes...
Loading edges...
Graph loaded: 4038 nodes, 88234 edges
Graph loaded from datasets/facebook.txt with 4038 nodes
Running sequential Jen-Schmidt computation...
Computation time: 0.00311 seconds
Found 106 biconnected components:
Component 1: Size: 85527, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 85517 more)
Component 2: Size: 1950, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 1940 more)
Component 3: Size: 183, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 173 more)
Component 4: Size: 40, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 30 more)
Component 5: Size: 23, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 13 more)
Component 6: Size: 21, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 11 more)
Component 7: Size: 20, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 10 more)
Component 8: Size: 11, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) ... (and 1 more)
Component 9: Size: 7, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) 
Component 10: Size: 6, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) (0-0) 
Component 11: Size: 5, Edges: (0-0) (0-0) (0-0) (0-0) (0-0) 
Component 12: Size: 4, Edges: (0-0) (0-0) (0-0) (0-0) 
Component 13: Size: 4, Edges: (0-0) (0-0) (0-0) (0-0) 
Component 14: Size: 4, Edges: (0-0) (0-0) (0-0) (0-0) 
Component 15: Size: 4, Edges: (0-0) (0-0) (0-0) (0-0) 
Component 16: Size: 4, Edges: (0-0) (0-0) (0-0) (0-0) 
Component 17: Size: 2, Edges: (0-0) (0-0) 
Component 18: Size: 2, Edges: (0-0) (0-0) 
Component 19: Size: 2, Edges: (0-0) (0-0) 
Component 20: Size: 2, Edges: (0-0) (0-0) 
Component 21: Size: 2, Edges: (0-0) (0-0) 
Component 22: Size: 2, Edges: (0-0) (0-0) 
Component 23: Size: 2, Edges: (0-0) (0-0) 
Component 24: Size: 2, Edges: (0-0) (0-0) 
Component 25: Size: 2, Edges: (0-0) (0-0) 
Component 26: Size: 2, Edges: (0-0) (0-0) 
Component 27: Size: 2, Edges: (0-0) (0-0) 
Component 28: Size: 2, Edges: (0-0) (0-0) 
Component 29: Size: 2, Edges: (0-0) (0-0) 
Component 30: Size: 2, Edges: (0-0) (0-0) 
Component 31: Size: 2, Edges: (0-0) (0-0) 
Component 32: Size: 2, Edges: (0-0) (0-0) 
Component 33: Size: 2, Edges: (0-0) (0-0) 
Component 34: Size: 2, Edges: (0-0) (0-0) 
Component 35: Size: 2, Edges: (0-0) (0-0) 
Component 36: Size: 2, Edges: (0-0) (0-0) 
Component 37: Size: 2, Edges: (0-0) (0-0) 
Component 38: Size: 2, Edges: (0-0) (0-0) 
Component 39: Size: 2, Edges: (0-0) (0-0) 
Component 40: Size: 2, Edges: (0-0) (0-0) 
Component 41: Size: 2, Edges: (0-0) (0-0) 
Component 42: Size: 2, Edges: (0-0) (0-0) 
Component 43: Size: 2, Edges: (0-0) (0-0) 
Component 44: Size: 2, Edges: (0-0) (0-0) 
Component 45: Size: 2, Edges: (0-0) (0-0) 
Component 46: Size: 2, Edges: (0-0) (0-0) 
Component 47: Size: 2, Edges: (0-0) (0-0) 
Component 48: Size: 2, Edges: (0-0) (0-0) 
Component 49: Size: 2, Edges: (0-0) (0-0) 
Component 50: Size: 2, Edges: (0-0) (0-0) 
Component 51: Size: 2, Edges: (0-0) (0-0) 
Component 52: Size: 2, Edges: (0-0) (0-0) 
Component 53: Size: 2, Edges: (0-0) (0-0) 
Component 54: Size: 2, Edges: (0-0) (0-0) 
Component 55: Size: 2, Edges: (0-0) (0-0) 
Component 56: Size: 2, Edges: (0-0) (0-0) 
Component 57: Size: 2, Edges: (0-0) (0-0) 
